,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,RecordName,Download Link,SizeGB,Version,Format,License,Classification,UpdateFrequency,LifecycleStage,Description,Note,industry,keywords ,Type,P-ID,category1,category2,category3,category4,source code License,hash,error,uploaded
0,0,0,0,Mapillar Mapillary Vistas Dataset,https://s3-eu-west-1.amazonaws.com/static.mapillary.com/MVD_research_samples.zip,0.015,v1,zip,proprietary,public,static,initial,A diverse street-level imagery dataset with pixel‑accurate and instance‑specific human annotations for understanding street scenes around the world,,,,,,,,,Research Edition,sample,2e887967c99846119ae843c95f14b2ee2499bf266356603f79c28606a5db279d,,True
1,1,1,1,Mapillar Mapillary Vistas Dataset,https://s3-eu-west-1.amazonaws.com/static.mapillary.com/MVD_commercial_samples.zip,0.015,v1,zip,proprietary,public,static,initial,A diverse street-level imagery dataset with pixel‑accurate and instance‑specific human annotations for understanding street scenes around the world,,,,,,,,,Commercial Edition,sample,6ae01ee6b76c40af3aad85701777358b7fa7b351a0fe8164af2cd5f4c107faf1,,True
2,2,2,2,GloVe,https://nlp.stanford.edu/software/GloVe-1.2.zip,0.000745,10/1/2015,zip,Apache License 2.0,public,,,"GloVe is an unsupervised learning algorithm for obtaining vector representations for words. Training is performed on aggregated global word-word co-occurrence statistics from a corpus, and the resulting representations showcase interesting linear substructures of the word vector space.",source code,communications,"linguistics, word, vector",text,P3000,,,,,,9ac2836bfbce93fbf693b18212569d02f9f091909c03ff583d037dae754c19d3,,True
3,3,3,3,Wikipedia + Gigaword 5,http://nlp.stanford.edu/data/glove.6B.zip,0.82,v1,zip,Public Domain Dedication and Licence v1.0,public,,,Pre-trained word vector,"6B tokens, 400k vocab, uncased, 50d, 100d, & 300d vectors",Electronics,Machine Learning,text,P3000,,,,,,3a0cee816e07886cf0935d2c07cb65d64dc5ea2bcd756f3924ec70e8f9ef52e9,,False
4,4,4,4,Common Crawl,http://nlp.stanford.edu/data/glove.42B.300d.zip,1.75,v1,zip,Public Domain Dedication and Licence v1.0,public,,,Pre-trained word vector,"42B tokens, 1.9M vocab, uncased, 300d vectors",Electronics,Machine Learning,text,P3000,,,,,,7595599f507aa49427feb9501d52d6edd864e7e850da9f0783859422dfb78c63,,False
5,5,5,5,Common Crawl,http://nlp.stanford.edu/data/glove.840B.300d.zip,2.03,v1,zip,Public Domain Dedication and Licence v1.0,public,,,Pre-trained word vector,"840B tokens, 2.2M vocab, cased, 300d vectors",Electronics,Machine Learning,text,P3000,,,,,,f55c11b2111ae729b324a8cd346aff5de47d3c3b285f3296584075df2fd75737,,False
6,6,6,6,Twitter,http://nlp.stanford.edu/data/glove.twitter.27B.zip,1.42,v1,zip,Public Domain Dedication and Licence v1.0,public,,,Pre-trained word vector,"2B tweets, 27B tokens, 1.2M vocab, uncased, 25d, 50d, 100d, & 200d vectors",Electronics,Machine Learning,text,P3000,,,,,,46e470daa060326b7d547ddf68187c041dbb8be2748e447d12a68f7386468cce,,False
7,7,7,7,U.S. Department of Agriculture's Nutrient Database,https://www.ars.usda.gov/ARSUserFiles/80400525/Data/SR/SR28/dnload/sr28asc.zip,0.006,5/1/2016,zip,,public,static,,"Food descriptions, nutrient information, weights, and other measurements.",,Life Sciences,"vitamins, food, health",text,P3001,Agriculture,,,,,19b72d047b9fe19e462f3d1999859dcf76b1b8e3faa110bc3fb996ec19305bc5,,True
8,8,8,8,E-MTAB-6854,https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6854/E-MTAB-6854.processed.1.zip,0.324,6/25/2018,zip,,public,static,,Single-cell RNA-seq data of mammary gland epithelial cells from different gestational stages to detect and remove barcode swapping,,Life Sciences,"mus musculus, RNA, cells",text,p3003,Biology,,,,,099138a4643526f432d2e7374b72c802f733507b5305aa4366de042cf6e6b9a2,,False
9,9,9,9,E-MTAB-6051,https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6051/E-MTAB-6051.processed.1.zip,0.056,6/25/2018,zip,,public,static,,Single-cell RNA sequencing of OT-I CD8+ T cells after stimulation with different affinity ligands,,Life Sciences,"mus musculus, RNA",text,p3004,Biology,,,,,06c0a13b59e0830462f9a5f9d0cb032719d3b04b6279354b25a736ad1133041c,,True
